loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,val_loss,val_accuracy,val_recall,val_precision,val_AUROC,val_AUPRC,val_f1_score,val_balanced_accuracy,val_specificity,val_miss_rate,val_fall_out,val_mcc,val_true_positives_over_total,val_false_positives_over_total,val_true_negatives_over_total,val_false_negatives_over_total,val_negative_predictive_value,val_false_discovery_rate,val_false_omission_rate,val_prevalence_threshold,val_threat_score,val_fowlkes_mallows_index,val_informedness,val_markedness,val_positive_likelyhood_ratio,val_negative_likelyhood_ratio,val_DOR
0.2510818839073181,0.9374654293060304,0.0493827164173126,0.1229508221149444,0.7017747759819031,0.1195606738328933,0.0704638883471489,0.5158113241195679,0.9822399020195008,0.9506173133850098,0.0177600737661123,0.0491612069308757,0.002370229922235,0.0169076398015022,0.935095191001892,0.0456269271671772,0.9534761905670166,0.8770492076873779,0.0465238057076931,0.3748816549777984,0.0365185625851154,0.5158113241195679,0.0779207646846771,0.076427012681961,2.780531167984009,0.9678055047988892,1.0653104782104492,0.1560927033424377,0.9519633650779724,0.1480263173580169,0.5,0.7916010618209839,0.2913433611392975,0.2284263968467712,0.5702784061431885,0.9925305247306824,0.8519737124443054,0.0074694994837045,0.2538562417030334,0.007110689766705,0.007110689766705,0.944852650165558,0.0409259684383869,0.958483636379242,0.5,0.0415163896977901,0.1834294199943542,0.1289398223161697,0.5702784061431885,0.272053599357605,0.4584836363792419,19.817169189453125,0.8583853244781494,1.3270878791809082
0.1518638432025909,0.953583002090454,0.1222222223877906,0.5778210163116455,0.8018580079078674,0.3197222352027893,0.2017662972211837,0.5588600039482117,0.9954977631568908,0.8777777552604675,0.0045022615231573,0.2510190308094024,0.0058663189411163,0.0042861658148467,0.9477166533470154,0.0421308353543281,0.9574370384216307,0.4221789836883545,0.0425629578530788,0.1610231846570968,0.1122024953365325,0.5588600039482117,0.2657490670681,0.5352580547332764,27.14624786376953,0.8817474842071533,1.266853928565979,0.1597235351800918,0.9492771029472352,0.2927631437778473,0.4564102590084076,0.7865287065505981,0.3080469667911529,0.3567134141921997,0.6375841498374939,0.9824051856994628,0.7072368264198303,0.0175948217511177,0.3405055999755859,0.0140633638948202,0.0167496241629123,0.9352137446403505,0.0339732952415943,0.9649466276168824,0.5435897707939148,0.0350533947348594,0.1968846619129181,0.2170731723308563,0.6375841498374939,0.3655408322811126,0.4213568866252899,16.639070510864258,0.719903290271759,1.759261131286621
0.1507874429225921,0.9550446271896362,0.1534979492425918,0.6300675868988037,0.8075816631317139,0.3381991982460022,0.2468563914299011,0.5744770765304565,0.9954562187194824,0.8465020656585693,0.0045437570661306,0.2961885333061218,0.0073674647137522,0.0043256697244942,0.947677195072174,0.0406296923756599,0.9588896036148072,0.3699324429035187,0.0411104001104831,0.146794781088829,0.1408078521490097,0.5744770765304565,0.3109888732433319,0.5889571905136108,33.78142166137695,0.8503658175468445,1.350049614906311,0.1569111496210098,0.953543484210968,0.0608552619814872,0.6851851940155029,0.7909380793571472,0.3108800649642944,0.1117824763059616,0.5297221541404724,0.9985890984535216,0.939144730567932,0.0014109055045992,0.1950312107801437,0.0029232834931463,0.0013431302504613,0.9506202340126038,0.0451133772730827,0.95469331741333,0.314814805984497,0.045306671410799,0.1321437209844589,0.0592000000178813,0.5297221541404724,0.2041987478733062,0.639878511428833,43.129005432128906,0.9404715299606324,1.126402497291565
0.1483541876077652,0.9550841450691224,0.1711934208869934,0.6153846383094788,0.8193860054016113,0.3466926515102386,0.2678686380386352,0.5828995108604431,0.9946056008338928,0.8288065791130066,0.0053944145329296,0.3087804019451141,0.0082167973741889,0.005135498009622,0.9468673467636108,0.0397803597152233,0.959681272506714,0.3846153914928436,0.0403187051415443,0.1507517248392105,0.1546468436717987,0.5828995108604431,0.3245763480663299,0.5750659108161926,31.73472213745117,0.8333016633987427,1.3975036144256592,0.1542513817548751,0.9525954127311708,0.1513157933950424,0.5227272510528564,0.7914672493934631,0.3043127357959747,0.2346938848495483,0.5721721053123474,0.993028461933136,0.8486841917037964,0.0069715329445898,0.26360023021698,0.0072687049396336,0.006636643782258,0.9453266859054564,0.040767952799797,0.9586571455001832,0.4772727191448211,0.0413428395986557,0.1767145544290542,0.1329479813575744,0.5721721053123474,0.2812416851520538,0.4813843965530395,21.704498291015625,0.8546422719955444,1.3373883962631226
0.1490978896617889,0.9546693563461304,0.1654320955276489,0.6008968353271484,0.8177882432937622,0.3414235413074493,0.2594385147094726,0.5799462199211121,0.9944603443145752,0.8345679044723511,0.0055396491661667,0.2993130683898926,0.0079402700066566,0.0052737616933882,0.946729063987732,0.0400568842887878,0.9594067335128784,0.3991031348705292,0.040593285113573,0.1546854376792907,0.1490545123815536,0.5799462199211121,0.3152897357940674,0.5603035688400269,29.862741470336918,0.8392167687416077,1.3806473016738892,0.159474641084671,0.952121376991272,0.0049342103302478,0.75,0.786383867263794,0.3156445026397705,0.0098039219155907,0.5024256110191345,0.9999170303344728,0.9950658082962036,8.299444016302004e-05,0.0583648197352886,0.0002370229922235,7.90076664998196e-05,0.9518843293190002,0.0477996356785297,0.9521852731704712,0.25,0.0478147491812706,0.1147859990596771,0.00492610828951,0.5024256110191345,0.0608330331742763,0.7021852731704712,59.38075256347656,0.995148241519928,1.0097496509552002
0.1453453153371811,0.9553804397583008,0.1761316806077957,0.6248174905776978,0.8363947868347168,0.3594638407230377,0.2747993469238281,0.5853997468948364,0.9946678280830384,0.8238683342933655,0.0053321714513003,0.3160251677036285,0.0084538199007511,0.0050762426108121,0.9469265937805176,0.0395433343946933,0.9599143266677856,0.3751824796199798,0.0400856994092464,0.1482065320014953,0.1592854410409927,0.5853997468948364,0.3317380845546722,0.5847318172454834,33.03126525878906,0.8282848000526428,1.4119616746902466,0.1681337654590606,0.9530694484710692,0.1891447305679321,0.5324074029922485,0.774072527885437,0.3092717826366424,0.279126226902008,0.5903811454772949,0.9916175603866576,0.8108552694320679,0.0083824386820197,0.2984562218189239,0.0090858815237879,0.0079797739163041,0.943983554840088,0.0389507785439491,0.9603729844093324,0.4675925970077514,0.0396270379424095,0.1739068627357483,0.1622002869844436,0.5903811454772949,0.3173358738422394,0.4927803874015808,22.56413459777832,0.8177095651626587,1.441293716430664
0.1436813026666641,0.955419898033142,0.1851851791143417,0.6189821362495422,0.8416021466255188,0.3690582811832428,0.2850807607173919,0.5897189974784851,0.994252860546112,0.8148148059844971,0.0057471264153718,0.3224113881587982,0.0088883619755506,0.0054712807759642,0.9465315341949464,0.0391087941825389,0.9603214263916016,0.3810178935527801,0.0396785624325275,0.1497800052165985,0.1662356853485107,0.5897189974784851,0.3385650813579559,0.5793035626411438,32.22166061401367,0.8195246458053589,1.4373538494110107,0.1597269773483276,0.9541755318641664,0.1036184206604957,0.6428571343421936,0.7772263288497925,0.3045245409011841,0.1784702539443969,0.5503568053245544,0.9970951676368712,0.8963815569877625,0.0029048053547739,0.2457111626863479,0.0049774828366935,0.0027652683202177,0.9491980671882628,0.0430591776967048,0.9566048383712769,0.3571428656578064,0.0433951765298843,0.1434198766946792,0.097978226840496,0.5503568053245544,0.2580927014350891,0.5994619727134705,35.6701545715332,0.8989928960800171,1.2239855527877808
0.1418713629245758,0.9555976986885072,0.1930041164159774,0.6203703880310059,0.8504824638366699,0.3766552805900574,0.2944130599498749,0.5935247540473938,0.9940453767776488,0.8069958686828613,0.0059546041302382,0.3296741843223572,0.0092636486515402,0.0056687998585402,0.9463340640068054,0.0387335084378719,0.9606793522834778,0.3796296417713165,0.0393206626176834,0.1494053453207016,0.1726168543100357,0.5935247540473938,0.346026062965393,0.5810497403144836,32.41204071044922,0.8118299245834351,1.460174322128296,0.1587901711463928,0.9537805318832396,0.0608552619814872,0.7254902124404907,0.7813693284988403,0.3133183717727661,0.1122913509607315,0.5298466682434082,0.9988380670547484,0.939144730567932,0.0011619221186265,0.201502040028572,0.0029232834931463,0.0011061072582378,0.9508572220802308,0.0451133772730827,0.9547041058540344,0.2745098173618316,0.0452958904206752,0.1214031726121902,0.0594855323433876,0.5298466682434082,0.2101187705993652,0.6801943182945251,52.3701400756836,0.9402371048927308,1.1269656419754028
0.1384790688753128,0.955321192741394,0.1880658417940139,0.612600564956665,0.8670847415924072,0.3759457170963287,0.2877833843231201,0.5910348892211914,0.9940038919448853,0.8119341731071472,0.0059960992075502,0.3230085968971252,0.0090266251936554,0.0057083037681877,0.9462945461273192,0.0389705300331115,0.9604466557502748,0.3873994648456573,0.0395533442497253,0.1515054702758789,0.1680765002965927,0.5910348892211914,0.3394248783588409,0.5730472207069397,31.36417388916016,0.8168318867683411,1.4451960325241089,0.1623669266700744,0.9537014961242676,0.1513157933950424,0.5679012537002563,0.777489423751831,0.3106656968593597,0.2389610409736633,0.5727530717849731,0.9941903948783876,0.8486841917037964,0.0058096107095479,0.2768108248710632,0.0072687049396336,0.0055305366404354,0.9464328289031982,0.040767952799797,0.9587034583091736,0.432098776102066,0.0412965193390846,0.163840115070343,0.135693222284317,0.5727530717849731,0.2931423187255859,0.5266047120094299,26.04532241821289,0.8536434173583984,1.3405667543411257
0.1339455693960189,0.9555779695510864,0.1921810656785965,0.620185911655426,0.8821350932121277,0.4045558869838714,0.2934338748455047,0.5931236147880554,0.9940661191940308,0.8078189492225647,0.005933856125921,0.3289034962654114,0.0092241447418928,0.0056490479037165,0.946353793144226,0.0387730114161968,0.960641622543335,0.379814088344574,0.0393583960831165,0.1494551599025726,0.1719440370798111,0.5931236147880554,0.3452361226081848,0.580827534198761,32.38666534423828,0.8126409649848938,1.4577487707138062,0.1750186383724212,0.9545705914497375,0.1315789520740509,0.6299212574958801,0.7754359841346741,0.3100576102733612,0.2176870703697204,0.5638390779495239,0.9960992336273192,0.8684210777282715,0.003900738665834,0.2739470899105072,0.0063206129707396,0.0037133602891117,0.9482499957084656,0.0417160466313362,0.9578611254692078,0.3700787425041199,0.0421388670802116,0.146888330578804,0.1221374049782753,0.5638390779495239,0.2878964841365814,0.5877823829650879,33.73094177246094,0.8718217611312866,1.2927316427230835
