,Unnamed: 0,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,val_loss,val_accuracy,val_recall,val_precision,val_AUROC,val_AUPRC,val_f1_score,val_balanced_accuracy,val_specificity,val_miss_rate,val_fall_out,val_mcc,val_true_positives_over_total,val_false_positives_over_total,val_true_negatives_over_total,val_false_negatives_over_total,val_negative_predictive_value,val_false_discovery_rate,val_false_omission_rate,val_prevalence_threshold,val_threat_score,val_fowlkes_mallows_index,val_informedness,val_markedness,val_positive_likelyhood_ratio,val_negative_likelyhood_ratio,val_DOR
97,4,0.4021677374839782,0.8087830543518066,0.6237589716911316,0.6270403265953064,0.8536753058433533,0.631888747215271,0.6253953576087952,0.7480854988098145,0.8724119663238525,0.376240998506546,0.127588003873825,0.4970273375511169,0.15961654484272,0.0949389263987541,0.6491665244102478,0.0962780341506004,0.8708447813987732,0.3729596734046936,0.1291551887989044,0.3114221394062042,0.4549638032913208,0.7480854988098145,0.6253975033760071,0.4978851079940796,4.888848781585693,0.4312652349472046,2.969599962234497,0.398619532585144,0.8045251965522766,0.7044209837913513,0.6006672382354736,0.8589730858802795,0.6474663615226746,0.6484199166297913,0.771685779094696,0.8389505743980408,0.2955790162086487,0.1610494405031204,0.5173631906509399,0.1802572906017303,0.1198378130793571,0.6242679357528687,0.0756369829177856,0.891932487487793,0.3993327915668487,0.108067512512207,0.3234782218933105,0.4797495305538177,0.771685779094696,0.6504787802696228,0.4925997257232666,4.373939514160156,0.3523198962211609,3.37992787361145
98,5,0.391474187374115,0.8132884502410889,0.6230742931365967,0.6385324597358704,0.8621435761451721,0.6518167853355408,0.6307086944580078,0.7508882880210876,0.8787022829055786,0.3769257068634033,0.1212977468967437,0.5058614015579224,0.1594413369894027,0.0902583077549934,0.6538470983505249,0.0964532420039177,0.8714471459388733,0.3614675104618072,0.1285528391599655,0.3061439394950866,0.4606095552444458,0.7508882880210876,0.6307560205459595,0.5099796056747437,5.136730194091797,0.4289571940898895,3.0142626762390137,0.3984996378421783,0.8094809055328369,0.63908451795578,0.6249043345451355,0.8584554195404053,0.6466891169548035,0.6319149136543274,0.7535819411277771,0.8680793642997742,0.3609154820442199,0.1319206207990646,0.5034741163253784,0.1635380685329437,0.0981628894805908,0.6459428071975708,0.0923562124371528,0.8749067783355713,0.3750956356525421,0.1250932216644287,0.3124009370803833,0.4618973433971405,0.7535819411277771,0.6319546699523926,0.4998111128807068,4.84445858001709,0.4157631695270538,3.058143615722656
99,6,0.3897566497325897,0.8138641119003296,0.6243947744369507,0.6396292448043823,0.863400399684906,0.6541107892990112,0.6319202184677124,0.7517082691192627,0.8790218234062195,0.3756052255630493,0.1209781840443611,0.5074469447135925,0.1597792357206344,0.0900205224752426,0.6540849208831787,0.0961153358221054,0.8718804121017456,0.3603707551956177,0.1281195729970932,0.3056391775608063,0.4619030356407165,0.7517082691192627,0.6319661140441895,0.5115096569061279,5.161213874816895,0.4272990226745605,3.027519941329956,0.3945472240447998,0.8141863346099854,0.5897887349128723,0.6511878967285156,0.8599523901939392,0.6550975441932678,0.6189694404602051,0.7405720949172974,0.8913555145263672,0.4102112650871277,0.1086444705724716,0.4975663125514984,0.1509235650300979,0.0808429718017578,0.6632627248764038,0.1049707159399986,0.8633609414100647,0.3488121032714844,0.1366390883922577,0.3003058433532715,0.4481938481330871,0.7405720949172974,0.6197283864021301,0.5145488381385803,5.42860746383667,0.4602105617523193,2.85463547706604
100,7,0.391500324010849,0.813125729560852,0.5970069169998169,0.6459071636199951,0.8622265458106995,0.6533411145210266,0.620495080947876,0.7422274947166443,0.8874480724334717,0.4029931128025055,0.1125519275665283,0.4974707663059234,0.1527708321809768,0.0837505012750625,0.6603549122810364,0.1031237468123436,0.8649290800094604,0.3540928065776825,0.1350708901882171,0.3027455806732178,0.4497954845428467,0.7422274947166443,0.620975911617279,0.5108362436294556,5.304275035858154,0.4541032612323761,2.8793890476226807,0.3942040205001831,0.8129348754882812,0.5692488551139832,0.6546681523323059,0.8613231778144836,0.6534337997436523,0.608977735042572,0.7329930663108826,0.896737277507782,0.4307511746883392,0.1032627001404762,0.4888789355754852,0.1456675231456756,0.0768383666872978,0.667267382144928,0.1102267578244209,0.8582281470298767,0.3453318476676941,0.1417718231678009,0.2986947894096374,0.437791496515274,0.7329930663108826,0.6104663014411926,0.5128962993621826,5.512622833251953,0.4803537428379059,2.745220422744751
101,8,0.3882454335689544,0.8134886622428894,0.6229764819145203,0.639072835445404,0.8652362823486328,0.658726692199707,0.6309220194816589,0.7509907484054565,0.8790050148963928,0.3770235180854797,0.1209950074553489,0.5062373876571655,0.1594163030385971,0.0900330394506454,0.6540724039077759,0.0964782759547233,0.8714566826820374,0.3609271645545959,0.1285433173179626,0.3058952391147613,0.4608371555805206,0.7509907484054565,0.6309733390808105,0.5105295181274414,5.148774147033691,0.428920716047287,3.0159144401550293,0.4184613227844238,0.7852530479431152,0.252543032169342,0.7335227131843567,0.8572123050689697,0.6448501348495483,0.3757275938987732,0.6104961633682251,0.9684493541717528,0.747456967830658,0.0315506234765052,0.3402205109596252,0.0646243169903755,0.0234769992530345,0.7206287384033203,0.191269963979721,0.790250837802887,0.2664772868156433,0.2097491323947906,0.2611511349678039,0.2313205450773239,0.6104961633682251,0.4304021894931793,0.5237735509872437,8.004349708557129,0.7718079090118408,1.5673688650131226
102,9,0.38638436794281,0.8152533173561096,0.6201887726783752,0.644457995891571,0.866521418094635,0.6608263850212097,0.6320905089378357,0.7512619495391846,0.8823351263999939,0.3798112273216247,0.1176648661494255,0.5089767575263977,0.158702939748764,0.0875550657510757,0.6565503478050232,0.0971916317939758,0.8710545301437378,0.3555420041084289,0.1289454847574234,0.3034142255783081,0.4620850384235382,0.7512619495391846,0.632206916809082,0.5155125260353088,5.2708024978637695,0.4304613471031189,3.020292997360229,0.3937817513942718,0.8109826445579529,0.5960485339164734,0.6403951048851013,0.8613222241401672,0.6553125977516174,0.6174265742301941,0.7404729723930359,0.8848974108695984,0.403951495885849,0.1151025891304016,0.4926844239234924,0.1525254100561142,0.0856484994292259,0.6584572196006775,0.1033688709139823,0.8643143177032471,0.3596048653125763,0.1356856524944305,0.3052863478660583,0.4465777575969696,0.7404729723930359,0.6178240776062012,0.5047094225883484,5.178406715393066,0.4564952254295349,2.8531625270843506
103,10,0.3817259073257446,0.8196085095405579,0.6289920210838318,0.6532073616981506,0.8700894713401794,0.6699764728546143,0.6408710479736328,0.7570763826370239,0.8851606845855713,0.3710079789161682,0.1148392930626869,0.5206480622291565,0.1609556525945663,0.0854525417089462,0.6586529016494751,0.0949389263987541,0.8740180730819702,0.3467926383018493,0.1259818971157074,0.2993714213371277,0.4715307056903839,0.7570763826370239,0.640985369682312,0.5272254347801208,5.477145195007324,0.4191418886184692,3.1165194511413574,0.3964914083480835,0.8066776990890503,0.5555555820465088,0.6410835385322571,0.8581808805465698,0.6473004221916199,0.5952630639076233,0.7242964506149292,0.8930373191833496,0.4444444477558136,0.1069626659154892,0.4711998105049133,0.14216348528862,0.0795915275812149,0.6645141839981079,0.113730788230896,0.853862464427948,0.3589164912700653,0.1461375206708908,0.3049693405628204,0.4237540960311889,0.7242964506149292,0.5967893600463867,0.4949460029602051,5.193915843963623,0.4976772964000702,2.627083778381348
104,11,0.3838986456394195,0.8174559473991394,0.63686603307724,0.6451964378356934,0.8683001399040222,0.666504442691803,0.641004204750061,0.7582130432128906,0.8795599937438965,0.36313396692276,0.1204399839043617,0.5186424851417542,0.162970557808876,0.0896200463175773,0.6544854044914246,0.0929240062832832,0.8756718635559082,0.3548035621643066,0.1243281289935112,0.3030736148357391,0.4716748893260956,0.7582130432128906,0.6410176753997803,0.5208683013916016,5.287824630737305,0.4128586053848266,3.135871648788452,0.3954412937164306,0.8117334842681885,0.6240218877792358,0.6343209147453308,0.8601590394973755,0.6539244055747986,0.6291292905807495,0.7501542568206787,0.8762865662574768,0.3759780824184418,0.123713418841362,0.5030178427696228,0.1596836298704147,0.0920558646321296,0.6520498394966125,0.0962106436491012,0.8714209198951721,0.3656790554523468,0.1285790801048278,0.3080803453922272,0.4589267671108246,0.7501542568206787,0.6291503310203552,0.5057418346405029,5.044088363647461,0.429058313369751,3.0024688243865967
105,12,0.3814567625522613,0.8181067109107971,0.6372084021568298,0.6467610001564026,0.8704190254211426,0.6713111400604248,0.6419491767883301,0.7587625980377197,0.8803168535232544,0.3627915978431701,0.1196831315755844,0.5200709700584412,0.1630581766366958,0.089056871831417,0.6550485491752625,0.0928364023566246,0.8758680820465088,0.3532390296459198,0.1241319328546524,0.3023516237735748,0.4726988971233368,0.7587625980377197,0.6419669389724731,0.5226290822029114,5.324124336242676,0.4121147394180298,3.145293951034546,0.3976573050022125,0.8099313974380493,0.6083724498748779,0.6340469121932983,0.8583141565322876,0.648239254951477,0.6209443807601929,0.7438094615936279,0.8792465329170227,0.391627550125122,0.1207534447312355,0.4943717122077942,0.1556790322065353,0.0898533314466476,0.6542524099349976,0.1002152487635612,0.8671709299087524,0.365953117609024,0.1328290849924087,0.3082063198089599,0.4502678513526916,0.7438094615936279,0.6210770010948181,0.5012178421020508,5.03813362121582,0.4454126060009002,2.9033448696136475
106,0,0.5264933109283447,0.7395499348640442,0.0632366612553596,0.4383050799369812,0.690342128276825,0.3894946873188019,0.1105269938707351,0.5176839232444763,0.9721311330795288,0.936763346195221,0.0278688799589872,0.0818460136651992,0.016181917861104,0.0207373853772878,0.7233680486679077,0.239712655544281,0.7510980367660522,0.5616949200630188,0.2489019483327865,0.398985207080841,0.0584961995482444,0.5176839232444763,0.1664840877056121,0.1894031167030334,2.26906967163086,0.9636181592941284,1.073328971862793,0.5310343503952026,0.7441056966781616,0.0,0.0,0.7438364624977112,0.4354782700538635,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.7441056966781616,0.255894273519516,0.7441056966781616,0.0,0.255894273519516,0.0,0.0,0.5,0.0,-0.2558943033218384,0.0,0.9999998807907104,0.9999998807907104
