loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,tp/t,fp/t,tn/t,fn/t,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,LR_pos,LR_neg,DOR,run_type,model_name,task,holdout_number,use_feature_selection,elapsed_time
0.14819009602069855,0.9560914635658264,0.187242791056633,0.6472261548042297,0.81195068359375,0.35845810174942017,0.2904564440250397,0.5910486578941345,0.9948545694351196,0.8127571940422058,0.0051454417407512665,0.33264774084091187,0.0089871222153306,0.004898475017398596,0.9471043944358826,0.03901003301143646,0.9604406356811523,0.3527738153934479,0.03955933824181557,0.14219847321510315,0.16990290582180023,0.5910486578941345,0.3481212854385376,0.6076667904853821,36.38932418823242,0.8169606924057007,1.445278525352478,train,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,True,223.78
0.14847645163536072,0.9560717344284058,0.19736842811107635,0.6382978558540344,0.8083136081695557,0.3612058162689209,0.30150753259658813,0.5958623886108398,0.9943563938140869,0.8026315569877625,0.005643622018396854,0.3389306664466858,0.009480919688940048,0.005372521001845598,0.9465908408164978,0.03855574131011963,0.960862934589386,0.3617021143436432,0.039137061685323715,0.14463995397090912,0.17751479148864746,0.5958623886108398,0.3549363911151886,0.5991607904434204,34.97132110595703,0.8071869015693665,1.4744045734405518,test,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,True,223.78
0.19307401776313782,0.9520028233528137,0.0,0.0,0.505954384803772,0.04819343984127045,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.9520028233528137,0.04799715429544449,0.9520028233528137,0.0,0.04799715429544449,0.0,0.0,0.5,0.0,-0.04799717664718628,0.0,0.9999998807907104,0.9999998807907104,train,BinaryClassificationCNNV1,active_enhancers_vs_inactive_enhancers,0,True,244.98
0.19303537905216217,0.9519633650779724,0.0,0.0,0.5115516185760498,0.04836933687329292,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.9519633650779724,0.04803666099905968,0.9519633650779724,0.0,0.04803666099905968,0.0,0.0,0.5,0.0,-0.04803663492202759,0.0,0.9999998807907104,0.9999998807907104,test,BinaryClassificationCNNV1,active_enhancers_vs_inactive_enhancers,0,True,244.98
0.15217918157577515,0.9553606510162354,0.12304526567459106,0.6985981464385986,0.8088209629058838,0.35795530676841736,0.2092372328042984,0.5601843595504761,0.9973235130310059,0.8769547343254089,0.0026764594949781895,0.28103336691856384,0.005905822850763798,0.002547997049987316,0.9494548439979553,0.042091332376003265,0.9575498104095459,0.30140188336372375,0.042450200766325,0.12852942943572998,0.11684251576662064,0.5601843595504761,0.2931879758834839,0.6561479568481445,45.971431732177734,0.8793081045150757,1.2736799716949463,train,MMNNV1,active_enhancers_vs_inactive_enhancers,0,True,289.92
0.15203341841697693,0.9559137225151062,0.13651315867900848,0.7155172228813171,0.7999318838119507,0.3655465841293335,0.22928176820278168,0.5668871402740479,0.9972611665725708,0.8634868264198303,0.0027388164307922125,0.30019611120224,0.006557635962963104,0.0026072529144585133,0.9493560791015625,0.04147902503609657,0.9581373333930969,0.2844827473163605,0.04186268895864487,0.12406947463750839,0.12948517501354218,0.5668871402740479,0.31253403425216675,0.6736545562744141,49.84203338623047,0.8658581376075745,1.3088669776916504,test,MMNNV1,active_enhancers_vs_inactive_enhancers,0,True,289.92
0.15297269821166992,0.9559137225151062,0.14814814925193787,0.6896551847457886,0.8126400709152222,0.3664325177669525,0.24390244483947754,0.572393536567688,0.9966388940811157,0.8518518805503845,0.0033611352555453777,0.30638471245765686,0.007110689766705036,0.0031998103950172663,0.9488030076026917,0.04088646546006203,0.9586876034736633,0.3103448152542114,0.04131241887807846,0.1309059113264084,0.1388888955116272,0.572393536567688,0.31964221596717834,0.6483427882194519,44.07550811767578,0.8547245860099792,1.338598608970642,train,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,0,True,204.85
0.15443500876426697,0.9557557106018066,0.15953947603702545,0.664383590221405,0.8079914450645447,0.36689773201942444,0.2572944164276123,0.5777363777160645,0.9959332942962646,0.8404605388641357,0.004066727589815855,0.3113573491573334,0.007663743570446968,0.003871375462040305,0.948091983795166,0.04037291556596756,0.9591559171676636,0.33561643958091736,0.04084405675530434,0.13767577707767487,0.14764079451560974,0.5777363777160645,0.32556936144828796,0.6235395073890686,39.22946548461914,0.8438922762870789,1.3681886196136475,test,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,0,True,204.85
0.14922679960727692,0.9546496272087097,0.08641975373029709,0.7342657446861267,0.8165857195854187,0.36640870571136475,0.15463916957378387,0.5424214601516724,0.998423159122467,0.9135802388191223,0.0015768288867548108,0.2419830858707428,0.0041479021310806274,0.001501145656220615,0.9505016803741455,0.04384925216436386,0.9559016227722168,0.2657342553138733,0.04409836605191231,0.1190037801861763,0.08379888534545898,0.5424214601516724,0.25190287828445435,0.6901673674583435,54.80257034301758,0.9150229692459106,1.1854170560836792,train,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,False,47.48
0.1504623144865036,0.9555976986885071,0.10197368264198303,0.7948718070983887,0.8079653382301331,0.36640465259552,0.1807580143213272,0.5503228902816772,0.9986720681190491,0.8980262875556946,0.0013279110426083207,0.2750125229358673,0.004898475017398596,0.0012641226639971137,0.9506992101669312,0.043138183653354645,0.9565943479537964,0.20512820780277252,0.043405674397945404,0.1024266704916954,0.09935897588729858,0.5503228902816772,0.2847033739089966,0.7514661550521851,76.78677368164062,0.8992202877998352,1.2238178253173828,test,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,False,47.48
