loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number,use_feature_selection,elapsed_time
0.07686026394367218,0.9721300601959229,0.5539094805717468,0.8045427203178406,0.9730749130249023,0.7407717704772949,0.6561052799224854,0.773562490940094,0.9932155013084412,0.44609054923057556,0.006784514058381319,0.6542710065841675,0.026586078107357025,0.00645887665450573,0.9455439448356628,0.021411076188087463,0.977857232093811,0.19545726478099823,0.022142784669995308,0.09964451193809509,0.48821181058883667,0.773562490940094,0.6675655841827393,0.7823999524116516,81.64199829101562,0.4491376578807831,3.4162282943725586,train,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,True,509.42
0.2205471694469452,0.9494351148605347,0.19901315867900848,0.4416058361530304,0.7339760661125183,0.2488805502653122,0.27437642216682434,0.5931574702262878,0.9873018264770508,0.8009868264198303,0.012698149308562279,0.27377066016197205,0.009559927508234978,0.012088172137737274,0.9398751854896545,0.03847673162817955,0.9606719017028809,0.5583941340446472,0.039328109472990036,0.20165911316871643,0.15900132060050964,0.5931574702262878,0.29645466804504395,0.40227773785591125,15.67248821258545,0.811288595199585,1.4579534530639648,test,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,True,509.42
0.193721204996109,0.9520028233528137,0.0,0.0,0.5086637735366821,0.04988090321421623,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.9520028233528137,0.04799715429544449,0.9520028233528137,0.0,0.04799715429544449,0.0,0.0,0.5,0.0,-0.04799717664718628,0.0,0.9999998807907104,0.9999998807907104,train,BinaryClassificationCNNV1,active_enhancers_vs_inactive_enhancers,0,True,48.62
0.1939105987548828,0.9519633650779724,0.0,0.0,0.4920295476913452,0.0463535450398922,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.9519633650779724,0.04803666099905968,0.9519633650779724,0.0,0.04803666099905968,0.0,0.0,0.5,0.0,-0.04803663492202759,0.0,0.9999998807907104,0.9999998807907104,test,BinaryClassificationCNNV1,active_enhancers_vs_inactive_enhancers,0,True,48.62
0.07259601354598999,0.9729398488998413,0.5547325015068054,0.8239609003067017,0.9765030145645142,0.773120641708374,0.6630595326423645,0.7743785381317139,0.9940246343612671,0.4452674984931946,0.005975351668894291,0.66335129737854,0.026625582948327065,0.005688551813364029,0.94631427526474,0.021371573209762573,0.9779147505760193,0.17603911459445953,0.022085238248109818,0.09402760118246078,0.49595290422439575,0.7743785381317139,0.6760753393173218,0.801875650882721,92.83524322509766,0.4479440748691559,3.4322023391723633,train,MMNNV1,active_enhancers_vs_inactive_enhancers,0,True,210.98
0.238692507147789,0.9422454237937927,0.1496710479259491,0.2983606457710266,0.7406858205795288,0.1845245361328125,0.19934283196926117,0.5659551024436951,0.9822391867637634,0.8503289222717285,0.017760809510946274,0.1839446872472763,0.007189697585999966,0.016907639801502228,0.935055673122406,0.04084696248173714,0.9581444263458252,0.7016393542289734,0.041855569928884506,0.25621718168258667,0.11070559918880463,0.5659551024436951,0.21131953597068787,0.2565050721168518,8.426992416381836,0.8657044172286987,1.3039090633392334,test,MMNNV1,active_enhancers_vs_inactive_enhancers,0,True,210.98
0.05910933390259743,0.9794777631759644,0.6860082149505615,0.8579516410827637,0.9850307703018188,0.8515565395355225,0.7624056935310364,0.8401409387588501,0.9942736029624939,0.3139917552471161,0.0057263788767158985,0.7569593787193298,0.032926443964242935,0.005451528821140528,0.9465513229370117,0.015070712193846703,0.9843277931213379,0.14204837381839752,0.01567217893898487,0.08371557295322418,0.61603844165802,0.8401409387588501,0.7671778798103333,0.8422794342041016,119.79581451416016,0.31580010056495667,5.2555084228515625,train,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,0,True,89.09
0.23995637893676758,0.94493168592453,0.2006578892469406,0.36636635661125183,0.7477952241897583,0.2197343409061432,0.2592986226081848,0.5915729999542236,0.9824881553649902,0.7993420958518982,0.017511826008558273,0.24469603598117828,0.009638935327529907,0.01667061634361744,0.9352927207946777,0.03839772567152977,0.9605647325515747,0.6336336135864258,0.0394352488219738,0.2280486524105072,0.14896215498447418,0.5915729999542236,0.27113521099090576,0.32693108916282654,11.458355903625488,0.8135894536972046,1.4484179019927979,test,BoostedMMNNV1,active_enhancers_vs_inactive_enhancers,0,True,89.09
0.09802503883838654,0.9660069346427917,0.5827160477638245,0.6669806838035583,0.9571408629417419,0.6628469228744507,0.6220074892044067,0.7840237021446228,0.9853313565254211,0.41728395223617554,0.014668658375740051,0.6058065891265869,0.027968712151050568,0.013964604586362839,0.9380382299423218,0.02002844214439392,0.979094922542572,0.33301931619644165,0.020905060693621635,0.13693375885486603,0.4513866603374481,0.7840237021446228,0.6234263181686401,0.6460756063461304,39.7249755859375,0.4234960079193115,3.630136728286743,train,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,False,124.73
0.19163241982460022,0.9445366263389587,0.2878289520740509,0.3941441476345062,0.7586351633071899,0.2607632875442505,0.33269962668418884,0.6327517032623291,0.9776744842529297,0.7121710777282715,0.022325504571199417,0.30859920382499695,0.013826341368258,0.021253062412142754,0.9307102560997009,0.034210316836833954,0.9645459651947021,0.6058558821678162,0.035454023629426956,0.21783658862113953,0.19954389333724976,0.6327517032623291,0.33681759238243103,0.3586901128292084,12.892324447631836,0.7284336686134338,1.7229530811309814,test,BinaryClassificationFFNNV1,active_enhancers_vs_inactive_enhancers,0,False,124.73
