,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,val_loss,val_accuracy,val_recall,val_precision,val_AUROC,val_AUPRC,val_f1_score,val_balanced_accuracy,val_specificity,val_miss_rate,val_fall_out,val_mcc,val_true_positives_over_total,val_false_positives_over_total,val_true_negatives_over_total,val_false_negatives_over_total,val_negative_predictive_value,val_false_discovery_rate,val_false_omission_rate,val_prevalence_threshold,val_threat_score,val_fowlkes_mallows_index,val_informedness,val_markedness,val_positive_likelyhood_ratio,val_negative_likelyhood_ratio,val_DOR
0,0.5244419574737549,0.7881207466125488,0.5359710454940796,0.5955654382705688,0.8167142271995544,0.5779961943626404,0.564198911190033,0.7054024934768677,0.8748339414596558,0.4640289545059204,0.12516608834266663,0.4257778525352478,0.1371520757675171,0.09313676506280899,0.6509686708450317,0.11874248832464218,0.8457310795783997,0.40443453192710876,0.15426889061927795,0.325805127620697,0.3929506242275238,0.7054024934768677,0.5649830102920532,0.4412965178489685,4.28207540512085,0.5304194092750549,2.3944613933563232,0.41384661197662354,0.7986684441566467,0.6801643371582031,0.5929399728775024,0.8495756983757019,0.6267895102500916,0.6335641145706177,0.7597929239273071,0.8394214510917664,0.31983569264411926,0.16057853400707245,0.4978843927383423,0.17405015230178833,0.11948741227388382,0.6246182918548584,0.08184412121772766,0.8841493725776672,0.40706002712249756,0.11585063487291336,0.32700201869010925,0.4636618196964264,0.7597929239273071,0.6350563764572144,0.4770893454551697,4.235708713531494,0.38101914525032043,3.1630735397338867
1,0.4017564654350281,0.8070559501647949,0.6029735207557678,0.6281332969665527,0.8537663221359253,0.6294819116592407,0.6152963042259216,0.7401062250137329,0.8772389888763428,0.3970264494419098,0.12276098877191544,0.48678767681121826,0.15429764986038208,0.0913471132516861,0.6527583003044128,0.10159691423177719,0.865319550037384,0.37186673283576965,0.13468046486377716,0.3109210133552551,0.44435232877731323,0.7401062250137329,0.6154248118400574,0.49345284700393677,4.911764144897461,0.4525863528251648,2.8477258682250977,0.4034028649330139,0.8047754764556885,0.6097418069839478,0.6206690669059753,0.8532435894012451,0.6341642737388611,0.615156888961792,0.7407941818237305,0.871846616268158,0.39025822281837463,0.12815338373184204,0.4844202697277069,0.15602943301200867,0.09535966068506241,0.6487460732460022,0.09986484795808792,0.8665997982025146,0.37933093309402466,0.13340020179748535,0.31434059143066406,0.44420692324638367,0.7407941818237305,0.6151812076568604,0.48726886510849,4.7579026222229,0.44762250781059265,2.857937812805176
2,0.3983485698699951,0.809609055519104,0.6186726689338684,0.6304196119308472,0.8567020297050476,0.6369022727012634,0.6244909167289734,0.7469719648361206,0.875271201133728,0.3813273310661316,0.12472879886627197,0.49702128767967224,0.15831497311592102,0.09281137585639954,0.6512940526008606,0.09757959842681885,0.869698166847229,0.36958038806915283,0.1303018182516098,0.30987197160720825,0.4540071189403534,0.7469719648361206,0.6245185136795044,0.5001177787780762,4.960139274597168,0.43566757440567017,2.952130079269409,0.399641752243042,0.8073784708976746,0.5929186344146729,0.631721556186676,0.8565858006477356,0.6434133052825928,0.6117053627967834,0.7370244264602661,0.8811301589012146,0.40708136558532715,0.1188698261976242,0.4842272400856018,0.15172448754310608,0.08845172077417374,0.6556540131568909,0.10416979342699051,0.8629027009010315,0.368278443813324,0.1370972990989685,0.30927422642707825,0.4406163692474365,0.7370244264602661,0.6120126843452454,0.4946242570877075,4.987961769104004,0.4619990587234497,2.8026340007781982
3,0.3972778618335724,0.8101096153259277,0.5976915955543518,0.6375730633735657,0.8580389618873596,0.6364967823028564,0.6169885396957397,0.7404254674911499,0.8831592798233032,0.4023084044456482,0.11684074252843857,0.49137741327285767,0.15294604003429413,0.08694183081388474,0.6571636199951172,0.10294853895902634,0.8645613789558411,0.3624269664287567,0.13543862104415894,0.30658531188964844,0.4461195766925812,0.7404254674911499,0.6173103451728821,0.5021344423294067,5.115434169769287,0.4555331766605377,2.852457046508789,0.4089243710041046,0.8021224141120911,0.7057902812957764,0.595674455165863,0.8561579585075378,0.6367985010147095,0.6460739374160767,0.7705204486846924,0.8352506160736084,0.29420968890190125,0.164749413728714,0.5136408805847168,0.18060769140720367,0.12259098142385483,0.6215147376060486,0.07528658211231232,0.8919540047645569,0.40432557463645935,0.10804598033428192,0.3257552981376648,0.47718554735183716,0.7705204486846924,0.6483989953994751,0.4876284599304199,4.28402042388916,0.3522411584854126,3.3576858043670654
4,0.3945087492465973,0.8115988969802856,0.6138308644294739,0.6368156671524048,0.859853208065033,0.6461482644081116,0.6251120567321777,0.7467206716537476,0.8796104788780212,0.38616910576820374,0.12038952857255936,0.4995043873786926,0.15707598626613617,0.08958249539136887,0.6545229554176331,0.0988185852766037,0.8688263297080994,0.3631843328475952,0.13117368519306183,0.306933730840683,0.454664021730423,0.7467206716537476,0.6252176761627197,0.5056419968605042,5.098702430725098,0.43902280926704407,2.948209762573242,0.40235525369644165,0.8042248487472534,0.6852504014968872,0.603445291519165,0.8555741906166077,0.6401757001876831,0.6417514085769653,0.7651950120925903,0.8451395630836487,0.3147495985031128,0.15486040711402893,0.509749174118042,0.17535164952278137,0.11523251980543137,0.6288732290267944,0.08054262399673462,0.8864662647247314,0.39655470848083496,0.11353372782468796,0.32221078872680664,0.4724844992160797,0.7651950120925903,0.6430482864379883,0.4899115562438965,4.424952507019043,0.3724231719970703,3.258852481842041
5,0.392058789730072,0.8127002120018005,0.6134885549545288,0.6397715210914612,0.8619024157524109,0.653296947479248,0.6263543963432312,0.747348427772522,0.8812082409858704,0.3865114748477936,0.11879172921180725,0.501651406288147,0.15698838233947754,0.08839356899261475,0.655711829662323,0.09890618920326233,0.8689321279525757,0.3602284789085388,0.1310678869485855,0.30557364225387573,0.4559796452522278,0.747348427772522,0.6264922022819519,0.5087036490440369,5.164400577545166,0.4386152923107147,2.9580190181732178,0.3990631103515625,0.8090304136276245,0.6265649199485779,0.6269328594207764,0.8569286465644836,0.6426428556442261,0.6267488598823547,0.7491720914840698,0.8717793226242065,0.37343505024909973,0.12822064757347107,0.49844029545783997,0.16033437848091125,0.09540972113609314,0.6486960053443909,0.09555989503860474,0.8716034293174744,0.37306714057922363,0.12839655578136444,0.31147122383117676,0.4563978314399719,0.7491720914840698,0.6267488598823547,0.49853628873825073,4.886610984802246,0.4283595383167267,2.9867970943450928
6,0.3900546133518219,0.8145149350166321,0.6256663799285889,0.6409318447113037,0.8637973666191101,0.6541157960891724,0.6332071423530579,0.7525627613067627,0.8794590830802917,0.3743336498737335,0.12054089456796646,0.5091695785522461,0.1601046323776245,0.08969513326883316,0.6544103026390076,0.09578994661569595,0.8723141551017761,0.3590681254863739,0.12768584489822388,0.30503934621810913,0.46327948570251465,0.7525627613067627,0.6332530975341797,0.5132459998130798,5.190486431121826,0.425640732049942,3.0414278507232666,0.3994615077972412,0.8074786067008972,0.6555164456367493,0.6164458990097046,0.8573154211044312,0.6439725756645203,0.6353811025619507,0.757627010345459,0.8597376346588135,0.34448355436325073,0.14026236534118652,0.5051989555358887,0.16774290800094604,0.10437002778053284,0.6397356986999512,0.08815137296915054,0.8788941502571106,0.383554071187973,0.12110584229230881,0.31627264618873596,0.46561068296432495,0.757627010345459,0.6356810927391052,0.4953400492668152,4.673498630523682,0.4006844460964203,3.1258718967437744
7,0.3880253732204437,0.8145149350166321,0.608353316783905,0.646114706993103,0.8652268052101135,0.6579144597053528,0.6266656517982483,0.7468831539154053,0.8854129910469055,0.39164668321609497,0.11458700895309448,0.5038220882415771,0.1556743085384369,0.08526481688022614,0.6588405966758728,0.10022026300430298,0.8679680824279785,0.35388532280921936,0.13203191757202148,0.3026498854160309,0.45630961656570435,0.7468831539154053,0.6269497871398926,0.5140827894210815,5.309090614318848,0.4423321485519409,2.9507439136505127,0.40233996510505676,0.8062772154808044,0.667644739151001,0.6112105846405029,0.8579858541488647,0.644576907157898,0.638182520866394,0.760798454284668,0.8539522290229797,0.33235523104667664,0.14604775607585907,0.5071829557418823,0.17084647715091705,0.10867497324943542,0.6354307532310486,0.08504780381917953,0.8819565176963806,0.3887893855571747,0.11804348975419998,0.3186655044555664,0.46862557530403137,0.760798454284668,0.6388047337532043,0.49316710233688354,4.571410655975342,0.3891964554786682,3.180574893951416
8,0.40275701880455017,0.80291348695755,0.5928497910499573,0.6202097535133362,0.8553029894828796,0.6230165362358093,0.6062212586402893,0.734001636505127,0.8751534819602966,0.40715017914772034,0.12484652549028397,0.47509050369262695,0.15170705318450928,0.09289897978305817,0.6512064337730408,0.10418752580881119,0.8620752692222595,0.37979021668434143,0.13792474567890167,0.31455090641975403,0.4349479675292969,0.734001636505127,0.6063754558563232,0.4822850227355957,4.748624801635742,0.46523281931877136,2.7594213485717773,0.404136598110199,0.8023226857185364,0.6561033129692078,0.6048692464828491,0.8527449369430542,0.6266580820083618,0.6294454336166382,0.7543550729751587,0.8526067733764648,0.3438967168331146,0.14739321172237396,0.4957174062728882,0.16789308190345764,0.10967613011598587,0.6344295740127563,0.08800119906663895,0.878187358379364,0.3951307535171509,0.12181264162063599,0.32156091928482056,0.45926332473754883,0.7543550729751587,0.6299656629562378,0.48305660486221313,4.451377868652344,0.40334734320640564,3.070915460586548
9,0.4150370955467224,0.801436722278595,0.5988653302192688,0.6150484681129456,0.845697820186615,0.5939167141914368,0.6068490147590637,0.7349827289581299,0.871100127696991,0.4011346399784088,0.12889987230300903,0.474132776260376,0.15324640274047852,0.09591510146856308,0.6481903195381165,0.10264817625284195,0.8632885813713074,0.38495153188705444,0.13671138882637024,0.3169117569923401,0.4355946183204651,0.7349827289581299,0.6069029569625854,0.47833704948425293,4.645969390869141,0.46049192547798157,2.773338556289673,0.4072665274143219,0.8048255443572998,0.5279734134674072,0.6449223160743713,0.8548018336296082,0.6344831585884094,0.5806174278259277,0.7140035629272461,0.9000336527824402,0.47202661633491516,0.09996636211872101,0.45894697308540344,0.13510537147521973,0.07438554614782333,0.6697201728820801,0.12078890949487686,0.8472011089324951,0.3550776541233063,0.15279889106750488,0.30319979786872864,0.40906333923339844,0.7140035629272461,0.5835253596305847,0.49212342500686646,5.281505584716797,0.5244543552398682,2.4965462684631348
